proj_x,proj_y,method,image_id,image_width,image_height,label_file,cluster_label
-28.125576,53.45842,TSNE,coloured_noised_diana_1_00000,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00000.txt,1
-19.289871,65.74861,TSNE,coloured_noised_diana_1_00001,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00001.txt,1
-26.513096,52.030685,TSNE,coloured_noised_diana_1_00002,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00002.txt,1
-29.418211,58.409748,TSNE,coloured_noised_diana_1_00003,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00003.txt,1
-28.754633,62.585484,TSNE,coloured_noised_diana_1_00004,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00004.txt,1
-18.564383,64.33215,TSNE,coloured_noised_diana_1_00005,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00005.txt,1
-19.954683,61.476418,TSNE,coloured_noised_diana_1_00006,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00006.txt,1
-26.356613,56.132385,TSNE,coloured_noised_diana_1_00007,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00007.txt,1
-26.356613,56.132385,TSNE,coloured_noised_diana_1_00008,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00008.txt,1
-26.360315,56.12933,TSNE,coloured_noised_diana_1_00009,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00009.txt,1
-26.925577,53.615387,TSNE,coloured_noised_diana_1_00010,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00010.txt,1
-28.499899,50.21155,TSNE,coloured_noised_diana_1_00011,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00011.txt,1
-20.42027,65.106636,TSNE,coloured_noised_diana_1_00012,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00012.txt,1
-21.045105,64.858604,TSNE,coloured_noised_diana_1_00013,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00013.txt,1
-30.179098,57.82514,TSNE,coloured_noised_diana_1_00014,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00014.txt,1
-32.70401,55.754623,TSNE,coloured_noised_diana_1_00015,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00015.txt,1
-24.806597,64.16309,TSNE,coloured_noised_diana_1_00016,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00016.txt,1
-31.893494,58.0017,TSNE,coloured_noised_diana_1_00017,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00017.txt,1
-26.83558,50.092873,TSNE,coloured_noised_diana_1_00018,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00018.txt,1
-23.31205,65.26739,TSNE,coloured_noised_diana_1_00019,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00019.txt,1
-32.969456,54.687443,TSNE,coloured_noised_diana_1_00020,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00020.txt,1
-27.411953,60.37161,TSNE,coloured_noised_diana_1_00021,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00021.txt,1
-27.598585,50.638786,TSNE,coloured_noised_diana_1_00022,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00022.txt,1
-23.86108,59.693962,TSNE,coloured_noised_diana_1_00023,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00023.txt,1
-27.192099,61.490795,TSNE,coloured_noised_diana_1_00024,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00024.txt,1
-32.704636,55.751472,TSNE,coloured_noised_diana_1_00025,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00025.txt,1
-24.524277,55.678127,TSNE,coloured_noised_diana_1_00026,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00026.txt,1
-28.45939,53.498486,TSNE,coloured_noised_diana_1_00027,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00027.txt,1
-30.999422,55.14556,TSNE,coloured_noised_diana_1_00028,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00028.txt,1
-29.494774,50.360344,TSNE,coloured_noised_diana_1_00029,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00029.txt,1
-24.888102,66.4017,TSNE,coloured_noised_diana_1_00030,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00030.txt,1
-28.757528,62.56087,TSNE,coloured_noised_diana_1_00031,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00031.txt,1
-27.702593,53.461285,TSNE,coloured_noised_diana_1_00032,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00032.txt,1
-22.071033,64.7614,TSNE,coloured_noised_diana_1_00033,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00033.txt,1
-19.68307,64.64822,TSNE,coloured_noised_diana_1_00034,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00034.txt,1
-33.599277,56.22907,TSNE,coloured_noised_diana_1_00035,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00035.txt,1
-30.392315,50.624416,TSNE,coloured_noised_diana_1_00036,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00036.txt,1
-17.274727,59.07055,TSNE,coloured_noised_diana_1_00037,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00037.txt,1
-18.770325,60.674587,TSNE,coloured_noised_diana_1_00038,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00038.txt,1
-16.542377,60.13267,TSNE,coloured_noised_diana_1_00039,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00039.txt,1
-23.866798,59.68014,TSNE,coloured_noised_diana_1_00040,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00040.txt,1
-24.758158,64.32565,TSNE,coloured_noised_diana_1_00041,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00041.txt,1
-17.480108,57.678505,TSNE,coloured_noised_diana_1_00042,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00042.txt,1
-17.480108,57.678505,TSNE,coloured_noised_diana_1_00043,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00043.txt,1
-22.2169,55.027493,TSNE,coloured_noised_diana_1_00044,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00044.txt,1
-30.190765,57.8101,TSNE,coloured_noised_diana_1_00045,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00045.txt,1
-17.252153,60.194748,TSNE,coloured_noised_diana_1_00046,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00046.txt,1
-17.169102,60.283607,TSNE,coloured_noised_diana_1_00047,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00047.txt,1
-30.506,50.430782,TSNE,coloured_noised_diana_1_00048,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00048.txt,1
-17.82767,63.338154,TSNE,coloured_noised_diana_1_00049,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00049.txt,1
-22.115013,54.775627,TSNE,coloured_noised_diana_1_00050,360,360,..\mid_dataset\labels\coloured_noised_diana_1_00050.txt,1
