proj_x,proj_y,method,image_id,image_width,image_height,label_file,cluster_label
0.945834,23.036465,UMAP,coloured_noised_diana_1_00000,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00000.txt,1
-5.2282333,18.490765,UMAP,coloured_noised_diana_1_00001,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00001.txt,1
0.91699034,23.065716,UMAP,coloured_noised_diana_1_00002,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00002.txt,1
-7.4091206,26.975992,UMAP,coloured_noised_diana_1_00003,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00003.txt,1
-12.62925,16.192297,UMAP,coloured_noised_diana_1_00004,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00004.txt,1
-5.2482185,18.507364,UMAP,coloured_noised_diana_1_00005,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00005.txt,1
-2.1428816,23.461689,UMAP,coloured_noised_diana_1_00006,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00006.txt,1
13.227629,23.708174,UMAP,coloured_noised_diana_1_00007,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00007.txt,1
13.227618,23.708153,UMAP,coloured_noised_diana_1_00008,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00008.txt,1
13.227662,23.708178,UMAP,coloured_noised_diana_1_00009,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00009.txt,1
0.9253095,23.0585,UMAP,coloured_noised_diana_1_00010,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00010.txt,1
3.1147683,21.505144,UMAP,coloured_noised_diana_1_00011,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00011.txt,1
-5.2310286,18.50256,UMAP,coloured_noised_diana_1_00012,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00012.txt,1
-5.2382827,18.50247,UMAP,coloured_noised_diana_1_00013,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00013.txt,1
1.1273487,22.84696,UMAP,coloured_noised_diana_1_00014,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00014.txt,1
1.1941122,22.777668,UMAP,coloured_noised_diana_1_00015,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00015.txt,1
-2.5865924,20.72506,UMAP,coloured_noised_diana_1_00016,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00016.txt,1
-7.4091215,26.975994,UMAP,coloured_noised_diana_1_00017,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00017.txt,1
-7.363033,20.760794,UMAP,coloured_noised_diana_1_00018,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00018.txt,1
-6.8204703,24.029278,UMAP,coloured_noised_diana_1_00019,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00019.txt,1
1.2077144,22.764305,UMAP,coloured_noised_diana_1_00020,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00020.txt,1
-6.295426,21.780022,UMAP,coloured_noised_diana_1_00021,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00021.txt,1
-7.363063,20.760752,UMAP,coloured_noised_diana_1_00022,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00022.txt,1
9.820405,22.738855,UMAP,coloured_noised_diana_1_00023,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00023.txt,1
-6.2957487,21.780312,UMAP,coloured_noised_diana_1_00024,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00024.txt,1
1.1709512,22.80206,UMAP,coloured_noised_diana_1_00025,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00025.txt,1
13.227649,23.70818,UMAP,coloured_noised_diana_1_00026,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00026.txt,1
0.9797511,23.00111,UMAP,coloured_noised_diana_1_00027,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00027.txt,1
1.1339066,22.840511,UMAP,coloured_noised_diana_1_00028,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00028.txt,1
3.1147106,21.505056,UMAP,coloured_noised_diana_1_00029,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00029.txt,1
-6.8257494,24.023823,UMAP,coloured_noised_diana_1_00030,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00030.txt,1
-12.629193,16.192562,UMAP,coloured_noised_diana_1_00031,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00031.txt,1
0.9397392,23.043633,UMAP,coloured_noised_diana_1_00032,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00032.txt,1
-6.8212423,24.028471,UMAP,coloured_noised_diana_1_00033,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00033.txt,1
-5.2437196,18.50414,UMAP,coloured_noised_diana_1_00034,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00034.txt,1
1.2087791,22.764597,UMAP,coloured_noised_diana_1_00035,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00035.txt,1
8.00064,22.62621,UMAP,coloured_noised_diana_1_00036,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00036.txt,1
-2.3781989,23.694918,UMAP,coloured_noised_diana_1_00037,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00037.txt,1
-2.1667018,23.484795,UMAP,coloured_noised_diana_1_00038,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00038.txt,1
-2.421087,23.738094,UMAP,coloured_noised_diana_1_00039,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00039.txt,1
9.821314,22.739536,UMAP,coloured_noised_diana_1_00040,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00040.txt,1
-2.5867481,20.724934,UMAP,coloured_noised_diana_1_00041,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00041.txt,1
-2.186119,23.503399,UMAP,coloured_noised_diana_1_00042,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00042.txt,1
-2.179388,23.496899,UMAP,coloured_noised_diana_1_00043,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00043.txt,1
3.599038,27.21127,UMAP,coloured_noised_diana_1_00044,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00044.txt,1
1.1301188,22.844303,UMAP,coloured_noised_diana_1_00045,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00045.txt,1
-2.420716,23.73841,UMAP,coloured_noised_diana_1_00046,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00046.txt,1
-2.4253135,23.744034,UMAP,coloured_noised_diana_1_00047,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00047.txt,1
8.000911,22.626204,UMAP,coloured_noised_diana_1_00048,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00048.txt,1
-5.2513933,18.51012,UMAP,coloured_noised_diana_1_00049,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00049.txt,1
3.599039,27.211287,UMAP,coloured_noised_diana_1_00050,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00050.txt,1
-12.628947,16.19243,UMAP,coloured_noised_diana_1_00051,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00051.txt,1
-2.1291618,23.447817,UMAP,coloured_noised_diana_1_00052,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00052.txt,1
-6.826148,24.026081,UMAP,coloured_noised_diana_1_00053,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00053.txt,1
-7.4091187,26.976004,UMAP,coloured_noised_diana_1_00054,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00054.txt,1
9.825692,22.743261,UMAP,coloured_noised_diana_1_00055,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00055.txt,1
13.227654,23.70819,UMAP,coloured_noised_diana_1_00056,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00056.txt,1
-7.409127,26.976013,UMAP,coloured_noised_diana_1_00057,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00057.txt,1
-7.3631907,20.760756,UMAP,coloured_noised_diana_1_00058,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00058.txt,1
9.821081,22.739363,UMAP,coloured_noised_diana_1_00059,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00059.txt,1
-2.1379488,23.456635,UMAP,coloured_noised_diana_1_00060,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00060.txt,1
9.824999,22.741953,UMAP,coloured_noised_diana_1_00061,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00061.txt,1
-6.295625,21.78019,UMAP,coloured_noised_diana_1_00062,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00062.txt,1
3.5990114,27.21125,UMAP,coloured_noised_diana_1_00063,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00063.txt,1
-2.1839163,23.5015,UMAP,coloured_noised_diana_1_00064,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00064.txt,1
3.5990431,27.21131,UMAP,coloured_noised_diana_1_00065,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00065.txt,1
-6.818595,24.031277,UMAP,coloured_noised_diana_1_00066,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00066.txt,1
1.2124027,22.759403,UMAP,coloured_noised_diana_1_00067,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00067.txt,1
10.978223,18.881159,UMAP,coloured_noised_diana_1_00068,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00068.txt,1
10.990573,18.895744,UMAP,coloured_noised_diana_1_00069,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00069.txt,1
10.992193,18.897371,UMAP,coloured_noised_diana_1_00070,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00070.txt,1
10.992648,18.897894,UMAP,coloured_noised_diana_1_00071,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00071.txt,1
12.429274,20.689253,UMAP,coloured_noised_diana_1_00072,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00072.txt,1
12.429283,20.689316,UMAP,coloured_noised_diana_1_00073,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00073.txt,1
12.429445,20.689285,UMAP,coloured_noised_diana_1_00074,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00074.txt,1
-3.892651,18.989664,UMAP,coloured_noised_diana_1_00075,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00075.txt,1
-3.8924272,18.98958,UMAP,coloured_noised_diana_1_00076,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00076.txt,1
5.4421163,21.258675,UMAP,coloured_noised_diana_1_00077,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00077.txt,1
5.4421515,21.258734,UMAP,coloured_noised_diana_1_00078,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00078.txt,1
-8.666816,19.08258,UMAP,coloured_noised_diana_1_00079,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00079.txt,1
-8.668181,19.079885,UMAP,coloured_noised_diana_1_00080,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00080.txt,1
-8.669257,19.082674,UMAP,coloured_noised_diana_1_00081,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00081.txt,1
-2.621733,21.461643,UMAP,coloured_noised_diana_1_00082,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00082.txt,1
-2.623879,21.461927,UMAP,coloured_noised_diana_1_00083,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00083.txt,1
8.951861,20.94643,UMAP,coloured_noised_diana_1_00084,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00084.txt,1
-11.440302,23.016153,UMAP,coloured_noised_diana_1_00085,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00085.txt,1
-7.5208116,15.698978,UMAP,coloured_noised_diana_1_00086,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00086.txt,1
-7.534522,15.716038,UMAP,coloured_noised_diana_1_00087,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00087.txt,1
-7.5383286,15.72035,UMAP,coloured_noised_diana_1_00088,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00088.txt,1
11.246243,17.637207,UMAP,coloured_noised_diana_1_00089,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00089.txt,1
11.246162,17.638666,UMAP,coloured_noised_diana_1_00090,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00090.txt,1
-4.600434,13.088612,UMAP,coloured_noised_diana_1_00091,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00091.txt,1
-4.59232,13.0848055,UMAP,coloured_noised_diana_1_00092,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00092.txt,1
-4.5968547,13.088695,UMAP,coloured_noised_diana_1_00093,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00093.txt,1
-4.607464,13.09694,UMAP,coloured_noised_diana_1_00094,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00094.txt,1
-4.6193757,13.109663,UMAP,coloured_noised_diana_1_00095,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00095.txt,1
-4.6246796,13.114563,UMAP,coloured_noised_diana_1_00096,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00096.txt,1
3.297529,23.524904,UMAP,coloured_noised_diana_1_00097,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00097.txt,1
3.2974906,23.52496,UMAP,coloured_noised_diana_1_00098,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00098.txt,1
5.347369,17.453547,UMAP,coloured_noised_diana_1_00099,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00099.txt,1
5.3433332,17.450287,UMAP,coloured_noised_diana_1_00100,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00100.txt,1
5.346148,17.452818,UMAP,coloured_noised_diana_1_00101,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00101.txt,1
10.690616,12.119172,UMAP,coloured_noised_diana_1_00102,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00102.txt,1
10.690444,12.1198635,UMAP,coloured_noised_diana_1_00103,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00103.txt,1
