cluster_label,image_id,rank_in_cluster,distance_to_centroid,label_file
0,white_noised_irelia_1_00194,1,509.12100869830226,G:\LOL ML project\mid_dataset\labels\white_noised_irelia_1_00194.txt
0,irelia_1_00194,2,509.12100869830226,G:\LOL ML project\mid_dataset\labels\irelia_1_00194.txt
0,coloured_noised_irelia_1_00194,3,509.12100869830226,G:\LOL ML project\mid_dataset\labels\coloured_noised_irelia_1_00194.txt
0,white_noised_yorick_1_00233,4,509.12101048934005,G:\LOL ML project\mid_dataset\labels\white_noised_yorick_1_00233.txt
0,yorick_1_00233,5,509.12101048934005,G:\LOL ML project\mid_dataset\labels\yorick_1_00233.txt
0,coloured_noised_yorick_1_00233,6,509.12101048934005,G:\LOL ML project\mid_dataset\labels\coloured_noised_yorick_1_00233.txt
1,coloured_noised_diana_1_00039,1,509.14019237175177,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00039.txt
1,white_noised_diana_1_00039,2,509.14019237175177,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00039.txt
1,diana_1_00039,3,509.14019237175177,G:\LOL ML project\mid_dataset\labels\diana_1_00039.txt
1,white_noised_diana_1_00049,4,509.14019284285996,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00049.txt
1,diana_1_00049,5,509.14019284285996,G:\LOL ML project\mid_dataset\labels\diana_1_00049.txt
1,coloured_noised_diana_1_00049,6,509.14019284285996,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00049.txt
2,coloured_noised_diana_1_00107,1,509.1469290954109,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00107.txt
2,white_noised_diana_1_00107,2,509.1469290954109,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00107.txt
2,diana_1_00107,3,509.1469290954109,G:\LOL ML project\mid_dataset\labels\diana_1_00107.txt
2,white_noised_diana_1_00108,4,509.1469338277848,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00108.txt
2,diana_1_00108,5,509.1469338277848,G:\LOL ML project\mid_dataset\labels\diana_1_00108.txt
2,coloured_noised_diana_1_00108,6,509.1469338277848,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00108.txt
3,vladimir_1_00015,1,509.13329528451,G:\LOL ML project\mid_dataset\labels\vladimir_1_00015.txt
3,white_noised_vladimir_1_00015,2,509.13329528451,G:\LOL ML project\mid_dataset\labels\white_noised_vladimir_1_00015.txt
3,coloured_noised_vladimir_1_00015,3,509.13329528451,G:\LOL ML project\mid_dataset\labels\coloured_noised_vladimir_1_00015.txt
3,white_noised_ryze_1_00056,4,509.1332957413668,G:\LOL ML project\mid_dataset\labels\white_noised_ryze_1_00056.txt
3,ryze_1_00056,5,509.1332957413668,G:\LOL ML project\mid_dataset\labels\ryze_1_00056.txt
3,coloured_noised_ryze_1_00056,6,509.1332957413668,G:\LOL ML project\mid_dataset\labels\coloured_noised_ryze_1_00056.txt
4,coloured_noised_ekko_1_00217,1,509.1348851410789,G:\LOL ML project\mid_dataset\labels\coloured_noised_ekko_1_00217.txt
4,ekko_1_00217,2,509.1348851410789,G:\LOL ML project\mid_dataset\labels\ekko_1_00217.txt
4,white_noised_ekko_1_00217,3,509.1348851410789,G:\LOL ML project\mid_dataset\labels\white_noised_ekko_1_00217.txt
4,ekko_1_00216,4,509.13488699642875,G:\LOL ML project\mid_dataset\labels\ekko_1_00216.txt
4,white_noised_ekko_1_00216,5,509.13488699642875,G:\LOL ML project\mid_dataset\labels\white_noised_ekko_1_00216.txt
4,coloured_noised_ekko_1_00216,6,509.13488699642875,G:\LOL ML project\mid_dataset\labels\coloured_noised_ekko_1_00216.txt
