n_detections,mean_x,mean_y,std_x,std_y,bbox_area_norm_mean,bbox_area_norm_std,avg_pairwise_distance,min_pairwise_distance,max_pairwise_distance,top_lane_count,mid_lane_count,bot_lane_count,top_jungle_count,bot_jungle_count,river_count,baron_zone_count,dragon_zone_count,blue_base_count,red_base_count,lane_count_top,lane_count_mid,lane_count_bot,jungle_count,base_count,blue_side_count,red_side_count,center_count,lane_entropy,spread_score,grouping_score,image_id,image_width,image_height,label_file,cluster_label
1,0.08227,0.917092,0.0,0.0,0.00595131591,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00000,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00000.txt,1
1,0.08227,0.921556,0.0,0.0,0.005285871616,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00001,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00001.txt,1
1,0.081633,0.917092,0.0,0.0,0.0054730404,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00002,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00002.txt,1
1,0.082908,0.91773,0.0,0.0,0.0055673649,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00003,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00003.txt,1
1,0.083546,0.918367,0.0,0.0,0.005954570986,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00004,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00004.txt,1
1,0.080995,0.920918,0.0,0.0,0.005759340405,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00005,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00005.txt,1
1,0.081633,0.919005,0.0,0.0,0.0055673649,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00006,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00006.txt,1
1,0.08227,0.91773,0.0,0.0,0.00547133952,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00007,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00007.txt,1
1,0.08227,0.91773,0.0,0.0,0.00547133952,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00008,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00008.txt,1
1,0.08227,0.91773,0.0,0.0,0.00547133952,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00009,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00009.txt,1
