sample_id,image_path,cluster_id,linked_match_id,link_method,confidence,notes
white_noised_irelia_1_00194,G:\LOL ML project\mid_dataset\labels\white_noised_irelia_1_00194.txt,0,3326086514,manual,0.95,Confirmed mapping based on replay ID.
irelia_1_00194,G:\LOL ML project\mid_dataset\labels\irelia_1_00194.txt,0,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_irelia_1_00194,G:\LOL ML project\mid_dataset\labels\coloured_noised_irelia_1_00194.txt,0,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_yorick_1_00233,G:\LOL ML project\mid_dataset\labels\white_noised_yorick_1_00233.txt,0,3326086514,manual,0.95,Confirmed mapping based on replay ID.
yorick_1_00233,G:\LOL ML project\mid_dataset\labels\yorick_1_00233.txt,0,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_yorick_1_00233,G:\LOL ML project\mid_dataset\labels\coloured_noised_yorick_1_00233.txt,0,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_diana_1_00039,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00039.txt,1,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_diana_1_00039,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00039.txt,1,3326086514,manual,0.95,Confirmed mapping based on replay ID.
diana_1_00039,G:\LOL ML project\mid_dataset\labels\diana_1_00039.txt,1,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_diana_1_00049,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00049.txt,1,3326086514,manual,0.95,Confirmed mapping based on replay ID.
diana_1_00049,G:\LOL ML project\mid_dataset\labels\diana_1_00049.txt,1,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_diana_1_00049,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00049.txt,1,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_diana_1_00107,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00107.txt,2,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_diana_1_00107,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00107.txt,2,3326086514,manual,0.95,Confirmed mapping based on replay ID.
diana_1_00107,G:\LOL ML project\mid_dataset\labels\diana_1_00107.txt,2,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_diana_1_00108,G:\LOL ML project\mid_dataset\labels\white_noised_diana_1_00108.txt,2,3326086514,manual,0.95,Confirmed mapping based on replay ID.
diana_1_00108,G:\LOL ML project\mid_dataset\labels\diana_1_00108.txt,2,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_diana_1_00108,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00108.txt,2,3326086514,manual,0.95,Confirmed mapping based on replay ID.
vladimir_1_00015,G:\LOL ML project\mid_dataset\labels\vladimir_1_00015.txt,3,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_vladimir_1_00015,G:\LOL ML project\mid_dataset\labels\white_noised_vladimir_1_00015.txt,3,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_vladimir_1_00015,G:\LOL ML project\mid_dataset\labels\coloured_noised_vladimir_1_00015.txt,3,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_ryze_1_00056,G:\LOL ML project\mid_dataset\labels\white_noised_ryze_1_00056.txt,3,3326086514,manual,0.95,Confirmed mapping based on replay ID.
ryze_1_00056,G:\LOL ML project\mid_dataset\labels\ryze_1_00056.txt,3,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_ryze_1_00056,G:\LOL ML project\mid_dataset\labels\coloured_noised_ryze_1_00056.txt,3,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_ekko_1_00217,G:\LOL ML project\mid_dataset\labels\coloured_noised_ekko_1_00217.txt,4,3326086514,manual,0.95,Confirmed mapping based on replay ID.
ekko_1_00217,G:\LOL ML project\mid_dataset\labels\ekko_1_00217.txt,4,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_ekko_1_00217,G:\LOL ML project\mid_dataset\labels\white_noised_ekko_1_00217.txt,4,3326086514,manual,0.95,Confirmed mapping based on replay ID.
ekko_1_00216,G:\LOL ML project\mid_dataset\labels\ekko_1_00216.txt,4,3326086514,manual,0.95,Confirmed mapping based on replay ID.
white_noised_ekko_1_00216,G:\LOL ML project\mid_dataset\labels\white_noised_ekko_1_00216.txt,4,3326086514,manual,0.95,Confirmed mapping based on replay ID.
coloured_noised_ekko_1_00216,G:\LOL ML project\mid_dataset\labels\coloured_noised_ekko_1_00216.txt,4,3326086514,manual,0.95,Confirmed mapping based on replay ID.
